name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Anthony Richard",28,F,N,775000,15,1.764000,0.180000,0.4472000,0,1.280000,3.6712,0.6118666666666667,-5.139528593238832,-0.8565880988731357
"Ethan Del Mastro",21,D,N,855833,24,1.984000,0.000000,1.2400000,0.0005,-0.760000,2.4645,0.41075,-6.346228593238831,-1.0577047655398024
"Landon Slaggert",22,F,Y,912500,33,2.224000,0.000000,0.7060000,0.0015400000000000001,-5.260000,-2.3284599999999998,-0.3880766666666666,-11.139188593238831,-1.856531432206469
"David Gustafsson",24,F,N,835000,36,2.160000,0.000000,1.2076000,0.0004,-1.100000,2.268,0.37799999999999995,-6.542728593238832,-1.0904547655398025
"Matthew Highmore",28,F,N,775000,41,2.208000,0.000000,1.1000000,0.0027,3.640000,6.950699999999999,1.15845,-1.860028593238832,-0.3100047655398024
"Jansen Harkins",27,F,N,787500,62,2.464000,0.000000,2.3584000,0.0031400000000000004,3.100000,7.92554,1.3209233333333332,-0.8851885932388317,-0.14753143220646914
"Jon Merrill",32,D,N,1200000,70,2.432000,0.000000,5.0200000,0.0017000000000000001,-4.240000,3.2136999999999993,0.5356166666666665,-5.597028593238832,-0.9328380988731358
"Zemgus Girgensons",30,F,N,850000,82,3.008000,0.000000,2.9856000,0.0031400000000000004,4.900000,10.896740000000001,1.8161233333333335,2.0860114067611697,0.34766856779353117
"Scott Morrow",22,D,Y,916667,14,1.868000,0.000000,1.0092000,0.00023999999999999998,0.640000,3.51744,0.58624,-5.293288593238831,-0.8822147655398024
"Nils Aman",24,F,N,825000,19,1.628000,0.000000,0.1048000,0.0005,-0.040000,1.6932999999999998,0.2822166666666666,-7.117428593238832,-1.1862380988731358
"Phillip Di Giuseppe",31,F,N,775000,20,1.868000,0.000000,0.3576000,0.0015600000000000002,1.200000,3.4271599999999998,0.5711933333333333,-5.383568593238832,-0.897261432206469
"Nick DeSimone",30,D,N,775000,20,1.884000,0.000000,0.8936000,0.00074,0.000000,2.77834,0.46305666666666667,-6.0323885932388315,-1.0053980988731357
"Brendan Smith",35,D,N,1000000,32,1.532000,0.000000,1.2884000,0.3819,-3.540000,-0.33770000000000033,-0.05628333333333339,-9.148428593238831,-1.5247380988731358
"Derek Ryan",38,F,N,900000,36,1.820000,0.000000,1.2220000,0.00064,-2.800000,0.2426400000000002,0.04044000000000003,-8.568088593238832,-1.4280147655398023
"Arber Xhekaj",23,D,N,1300000,70,2.604000,0.000000,3.6960000,0.0018000000000000002,-18.400000,-12.098199999999999,-2.0163666666666664,-20.90892859323883,-3.484821432206469
"Artyom Levshunov",19,D,Y,975000,18,1.216000,0.360000,1.0516000,0.00014000000000000001,-2.720000,-0.09226000000000001,-0.015376666666666669,-8.902988593238831,-1.483831432206469
"Dennis Gilbert",28,D,N,825000,29,1.464000,0.000000,2.1492000,0.00086,-3.160000,0.4540599999999997,0.07567666666666661,-8.356668593238831,-1.3927780988731358
"Jack Johnson",37,D,N,775000,41,1.688000,0.000000,1.9524000,0.0032,-0.040000,3.6036,0.6006,-5.207128593238831,-0.8678547655398023
"Tyson Kozak",22,F,Y,850000,21,1.416000,0.340000,1.3664000,0.0005600000000000001,1.240000,4.36296,0.72716,-4.447768593238831,-0.7412947655398023
"Fraser Minten",20,F,Y,816666,21,1.804000,0.180000,0.5592000,0.00074,-0.680000,1.86394,0.31065666666666664,-6.946788593238832,-1.1577980988731358
"Vinni Lettieri",29,F,N,775000,26,2.472000,0.000000,0.8760000,0,0.520000,3.868,0.6446666666666666,-4.942728593238831,-0.8237880988731358
"Rodrigo Abols",28,F,N,775000,22,1.860000,0.000000,0.6100000,0,-0.080000,2.39,0.3983333333333334,-6.420728593238831,-1.070121432206469
"Liam Ohgren",20,F,Y,886666,24,1.752000,0.180000,0.6576000,0,-0.040000,2.5496,0.42493333333333333,-6.261128593238832,-1.043521432206469
"Nick Leddy",33,D,N,4000000,31,1.796000,0.000000,1.6340000,0.0013000000000000002,1.240000,4.6713000000000005,0.7785500000000001,-4.139428593238831,-0.6899047655398023
"Erik Johnson",36,D,N,1000000,36,1.832000,0.000000,1.5956000,0.0034000000000000002,-3.820000,-0.3889999999999998,-0.0648333333333333,-9.19972859323883,-1.5332880988731357
"Philippe Myers",27,D,N,775000,36,2.196000,0.000000,2.5504000,0.00206,-1.480000,3.2684600000000006,0.5447433333333335,-5.5422685932388305,-0.9237114322064689
"Ryan Shea",27,D,N,775000,39,1.544000,0.180000,2.9600000,0.0033,-2.840000,1.8473000000000006,0.30788333333333345,-6.963428593238831,-1.1605714322064689
"Juuso Valimaki",26,D,N,2000000,43,2.100000,0.000000,2.8892000,0.00206,1.640000,6.63126,1.10521,-2.1794685932388314,-0.36324476553980234
"Curtis Lazar",29,F,N,1000000,48,1.892000,0.000000,0.9900000,0.00184,-0.280000,2.60384,0.4339733333333333,-6.206888593238832,-1.034481432206469
"Oliver Kylington",27,D,Y,1050000,19,1.376000,0.000000,1.0572000,0.0005600000000000001,-2.720000,-0.28624000000000027,-0.04770666666666671,-9.096968593238831,-1.5161614322064692
"Adam Wilsby",24,D,N,775000,23,1.808000,0.000000,1.0632000,0.00296,-0.120000,2.7541599999999997,0.45902666666666664,-6.056568593238832,-1.0094280988731357
"Jordan Harris",24,D,N,1400000,33,1.520000,0.000000,2.0972000,0.0001,0.520000,4.1373,0.68955,-4.673428593238832,-0.7789047655398024
"Isaiah George",20,D,Y,838333,33,1.696000,0.000000,2.0096000,0.00023999999999999998,-2.040000,1.6658399999999998,0.27763999999999994,-7.144888593238832,-1.1908147655398025
"Devin Shore",30,F,N,775000,55,1.936000,0.000000,2.1544000,0.00034,0.520000,4.61074,0.7684566666666667,-4.199988593238832,-0.6999980988731357
"Sam Rinzel",20,D,Y,941667,9,0.792000,0.540000,0.2568000,0.00296,0.640000,2.23176,0.37196,-6.578968593238832,-1.0964947655398023
"Olle Lycksell",25,F,N,787500,19,1.040000,0.180000,0.2676000,0,0.600000,2.0876,0.34793333333333337,-6.723128593238831,-1.120521432206469
"Nils Lundkvist",24,D,N,1250000,39,1.932000,0.000000,2.0972000,0.0001,-5.520000,-1.4906999999999995,-0.24844999999999992,-10.301428593238832,-1.7169047655398022
"Jonah Gadjovich",26,F,N,775000,42,2.288000,0.000000,1.2268000,0.0002,-2.520000,0.9950000000000001,0.16583333333333336,-7.815728593238831,-1.302621432206469
"Arthur Kaliyev",23,F,N,825000,14,1.756000,0.000000,0.1468000,0,-0.680000,1.2227999999999999,0.20379999999999998,-7.587928593238832,-1.2646547655398024
"Louis Crevier",23,D,N,775000,32,1.868000,0.000000,2.8960000,0.003,-2.120000,2.6470000000000002,0.4411666666666667,-6.163728593238831,-1.0272880988731357
"Logan Mailloux",21,D,N,875000,7,1.400000,0.000000,0.4236000,0.00044,-2.040000,-0.21595999999999993,-0.03599333333333332,-9.02668859323883,-1.5044480988731357
"Kieffer Bellows",26,F,N,775000,19,1.248000,0.360000,0.3020000,0,-0.120000,1.79,0.29833333333333334,-7.0207285932388315,-1.170121432206469
"Simon Nemec",20,D,Y,918333,27,1.216000,0.360000,1.4408000,0.0012000000000000001,-2.840000,0.17799999999999994,0.029666666666666657,-8.63272859323883,-1.4387880988731356
"Hudson Fasching",29,F,N,775000,43,2.056000,0.000000,0.9832000,0.00004,0.520000,3.55924,0.5932066666666667,-5.2514885932388315,-0.8752480988731357
"Jimmy Snuggerud",20,F,Y,950000,7,0.820000,0.340000,0.2412000,0,0.640000,2.0412,0.3402,-6.769528593238832,-1.1282547655398023
"John Klingberg",32,D,N,1755056,11,1.364000,0.000000,0.7820000,0.00034,-2.720000,-0.5736600000000003,-0.09561000000000004,-9.384388593238832,-1.5640647655398023
"Lucas Carlsson",27,D,N,800000,13,1.300000,0.000000,0.8176000,0.00354,-4.760000,-2.6388599999999998,-0.43981,-11.44958859323883,-1.9082647655398024
"Ivan Miroshnichenko",20,F,Y,950000,18,1.064000,0.180000,0.5032000,0,0.640000,2.3872,0.39786666666666665,-6.4235285932388315,-1.0705880988731358
