Group_1,Group_2,Total_Absolute_Difference
Aerosmith (Rock),Red Hot Chili Peppers (Rock),16.5039
Bryson Tiller (R&B),Prince (R&B),16.5098
Foreigner (Pop),Pink Floyd (Pop),16.5204
Ellie Goulding (Pop),Gwen Stefani (Pop),16.5214
Maroon 5 (Pop),The Beatles (Pop),16.543
Demi Lovato (Pop),Wisin & Yandel (Pop),16.561100000000003
Billy Joel (Pop),Metallica (Pop),16.566799999999997
Elton John (Pop),Maroon 5 (Pop),16.5688
Bruce Springsteen (Rock),Tears For Fears (Rock),16.594199999999997
Red Hot Chili Peppers (Rock),The Beatles (Rock),16.5992
Foreigner (Rock),Scorpions (Rock),16.6133
Black Eyed Peas (Pop),James Arthur (Pop),16.6145
Flo Rida (Dance),Mariah Carey (Dance),16.6316
Flo Rida (Dance),The Chainsmokers (Dance),16.636599999999998
Elvis Presley (Pop),Jennifer Lopez (Pop),16.6526
Demi Lovato (Pop),Eagles (Pop),16.6538
Aerosmith (Rock),Foreigner (Rock),16.664
Ariana Grande (Pop),Black Eyed Peas (Pop),16.6792
David Guetta (Pop),George Michael (Pop),16.6873
Anu Malik (Pop),Gwen Stefani (Pop),16.6881
